Quiniela - Temporada,2025-26,Jornada,1

N°,Combinación,Coste (€)
123,111X11XX211111,0.75
124,111X11X2111111,0.75
125,111X11X2X11111,0.75
126,111X11X2211111,0.75
127,111X1X11111111,0.75
128,111X1X11X11111,0.75
129,111X1X11211111,0.75
130,111X1X1X111111,0.75
131,111X1X1XX11111,0.75
132,111X1X1X211111,0.75
133,111X1X12111111,0.75
134,111X1X12X11111,0.75
135,111X1X12211111,0.75
136,111X1XX1111111,0.75
137,111X1XX1X11111,0.75
138,111X1XX1211111,0.75
139,111X1XXX111111,0.75
140,111X1XXXX11111,0.75
141,111X1XXX211111,0.75
142,111X1XX2111111,0.75
143,111X1XX2X11111,0.75
144,111X1XX2211111,0.75
145,111X1211111111,0.75
146,111X1211X11111,0.75
147,111X1211211111,0.75
148,111X121X111111,0.75
149,111X121XX11111,0.75
150,111X121X211111,0.75
151,111X1212111111,0.75
152,111X1212X11111,0.75
153,111X1212211111,0.75
154,111X12X1111111,0.75
155,111X12X1X11111,0.75
156,111X12X1211111,0.75
157,111X12XX111111,0.75
158,111X12XXX11111,0.75
159,111X12XX211111,0.75
160,111X12X2111111,0.75
161,111X12X2X11111,0.75
162,111X12X2211111,0.75
163,111XX111111111,0.75
164,111XX111X11111,0.75
165,111XX111211111,0.75
166,111XX11X111111,0.75
167,111XX11XX11111,0.75
168,111XX11X211111,0.75
169,111XX112111111,0.75
170,111XX112X11111,0.75
171,111XX112211111,0.75
172,111XX1X1111111,0.75
173,111XX1X1X11111,0.75
174,111XX1X1211111,0.75
175,111XX1XX111111,0.75
176,111XX1XXX11111,0.75
177,111XX1XX211111,0.75
178,111XX1X2111111,0.75
179,111XX1X2X11111,0.75
180,111XX1X2211111,0.75
181,111XXX11111111,0.75
182,111XXX11X11111,0.75
183,111XXX11211111,0.75
184,111XXX1X111111,0.75
185,111XXX1XX11111,0.75
186,111XXX1X211111,0.75
187,111XXX12111111,0.75
188,111XXX12X11111,0.75
189,111XXX12211111,0.75
190,111XXXX1111111,0.75
191,111XXXX1X11111,0.75
192,111XXXX1211111,0.75
193,111XXXXX111111,0.75
194,111XXXXXX11111,0.75
195,111XXXXX211111,0.75
196,111XXXX2111111,0.75
197,111XXXX2X11111,0.75
198,111XXXX2211111,0.75
199,111XX211111111,0.75
200,111XX211X11111,0.75
201,111XX211211111,0.75
202,111XX21X111111,0.75
203,111XX21XX11111,0.75
204,111XX21X211111,0.75
205,111XX212111111,0.75
206,111XX212X11111,0.75
207,111XX212211111,0.75
208,111XX2X1111111,0.75
209,111XX2X1X11111,0.75
210,111XX2X1211111,0.75
211,111XX2XX111111,0.75
212,111XX2XXX11111,0.75
213,111XX2XX211111,0.75
214,111XX2X2111111,0.75
215,111XX2X2X11111,0.75
216,111XX2X2211111,0.75
217,1X111111111111,0.75
218,1X111111X11111,0.75
219,1X111111211111,0.75
220,1X11111X111111,0.75
221,1X11111XX11111,0.75
222,1X11111X211111,0.75
223,1X111112111111,0.75
224,1X111112X11111,0.75
225,1X111112211111,0.75
226,1X1111X1111111,0.75
227,1X1111X1X11111,0.75
228,1X1111X1211111,0.75
229,1X1111XX111111,0.75
230,1X1111XXX11111,0.75
231,1X1111XX211111,0.75
232,1X1111X2111111,0.75
233,1X1111X2X11111,0.75
234,1X1111X2211111,0.75
235,1X111X11111111,0.75
236,1X111X11X11111,0.75
237,1X111X11211111,0.75
238,1X111X1X111111,0.75
239,1X111X1XX11111,0.75
240,1X111X1X211111,0.75
241,1X111X12111111,0.75
242,1X111X12X11111,0.75
243,1X111X12211111,0.75
244,1X111XX1111111,0.75
245,1X111XX1X11111,0.75
246,1X111XX1211111,0.75
247,1X111XXX111111,0.75
248,1X111XXXX11111,0.75
249,1X111XXX211111,0.75
250,1X111XX2111111,0.75
251,1X111XX2X11111,0.75
252,1X111XX2211111,0.75
253,1X111211111111,0.75
254,1X111211X11111,0.75
255,1X111211211111,0.75
256,1X11121X111111,0.75
257,1X11121XX11111,0.75
258,1X11121X211111,0.75
259,1X111212111111,0.75
260,1X111212X11111,0.75
261,1X111212211111,0.75
262,1X1112X1111111,0.75
263,1X1112X1X11111,0.75
264,1X1112X1211111,0.75
265,1X1112XX111111,0.75
266,1X1112XXX11111,0.75
267,1X1112XX211111,0.75
268,1X1112X2111111,0.75
269,1X1112X2X11111,0.75
270,1X1112X2211111,0.75
271,1X11X111111111,0.75
272,1X11X111X11111,0.75
273,1X11X111211111,0.75
274,1X11X11X111111,0.75
275,1X11X11XX11111,0.75
276,1X11X11X211111,0.75
277,1X11X112111111,0.75
278,1X11X112X11111,0.75
279,1X11X112211111,0.75
280,1X11X1X1111111,0.75
281,1X11X1X1X11111,0.75
282,1X11X1X1211111,0.75
283,1X11X1XX111111,0.75
284,1X11X1XXX11111,0.75
285,1X11X1XX211111,0.75
286,1X11X1X2111111,0.75
287,1X11X1X2X11111,0.75
288,1X11X1X2211111,0.75
289,1X11XX11111111,0.75
290,1X11XX11X11111,0.75
291,1X11XX11211111,0.75
292,1X11XX1X111111,0.75
293,1X11XX1XX11111,0.75
294,1X11XX1X211111,0.75
295,1X11XX12111111,0.75
296,1X11XX12X11111,0.75
297,1X11XX12211111,0.75
298,1X11XXX1111111,0.75
299,1X11XXX1X11111,0.75
300,1X11XXX1211111,0.75
301,1X11XXXX111111,0.75
302,1X11XXXXX11111,0.75
303,1X11XXXX211111,0.75
304,1X11XXX2111111,0.75
305,1X11XXX2X11111,0.75
306,1X11XXX2211111,0.75
307,1X11X211111111,0.75
308,1X11X211X11111,0.75
309,1X11X211211111,0.75
310,1X11X21X111111,0.75
311,1X11X21XX11111,0.75
312,1X11X21X211111,0.75
313,1X11X212111111,0.75
314,1X11X212X11111,0.75
315,1X11X212211111,0.75
316,1X11X2X1111111,0.75
317,1X11X2X1X11111,0.75
318,1X11X2X1211111,0.75
319,1X11X2XX111111,0.75
320,1X11X2XXX11111,0.75
321,1X11X2XX211111,0.75
322,1X11X2X2111111,0.75
323,1X11X2X2X11111,0.75
324,1X11X2X2211111,0.75
325,1X1X1111111111,0.75
326,1X1X1111X11111,0.75
327,1X1X1111211111,0.75
328,1X1X111X111111,0.75
329,1X1X111XX11111,0.75
330,1X1X111X211111,0.75
331,1X1X1112111111,0.75
332,1X1X1112X11111,0.75
333,1X1X1112211111,0.75
334,1X1X11X1111111,0.75
335,1X1X11X1X11111,0.75
336,1X1X11X1211111,0.75
337,1X1X11XX111111,0.75
338,1X1X11XXX11111,0.75
339,1X1X11XX211111,0.75
340,1X1X11X2111111,0.75
341,1X1X11X2X11111,0.75
342,1X1X11X2211111,0.75
343,1X1X1X11111111,0.75
344,1X1X1X11X11111,0.75
345,1X1X1X11211111,0.75
346,1X1X1X1X111111,0.75
347,1X1X1X1XX11111,0.75
348,1X1X1X1X211111,0.75
349,1X1X1X12111111,0.75
350,1X1X1X12X11111,0.75
351,1X1X1X12211111,0.75
352,1X1X1XX1111111,0.75
353,1X1X1XX1X11111,0.75
354,1X1X1XX1211111,0.75
355,1X1X1XXX111111,0.75
356,1X1X1XXXX11111,0.75
357,1X1X1XXX211111,0.75
358,1X1X1XX2111111,0.75
359,1X1X1XX2X11111,0.75
360,1X1X1XX2211111,0.75
361,1X1X1211111111,0.75
362,1X1X1211X11111,0.75
363,1X1X1211211111,0.75
364,1X1X121X111111,0.75
365,1X1X121XX11111,0.75
366,1X1X121X211111,0.75
367,1X1X1212111111,0.75
368,1X1X1212X11111,0.75
369,1X1X1212211111,0.75
370,1X1X12X1111111,0.75
371,1X1X12X1X11111,0.75
372,1X1X12X1211111,0.75
373,1X1X12XX111111,0.75
374,1X1X12XXX11111,0.75
375,1X1X12XX211111,0.75
376,1X1X12X2111111,0.75
377,1X1X12X2X11111,0.75
378,1X1X12X2211111,0.75
379,1X1XX111111111,0.75
380,1X1XX111X11111,0.75
381,1X1XX111211111,0.75
382,1X1XX11X111111,0.75
383,1X1XX11XX11111,0.75
384,1X1XX11X211111,0.75
385,1X1XX112111111,0.75
386,1X1XX112X11111,0.75
387,1X1XX112211111,0.75
388,1X1XX1X1111111,0.75
389,1X1XX1X1X11111,0.75
390,1X1XX1X1211111,0.75
391,1X1XX1XX111111,0.75
392,1X1XX1XXX11111,0.75
393,1X1XX1XX211111,0.75
394,1X1XX1X2111111,0.75
395,1X1XX1X2X11111,0.75
396,1X1XX1X2211111,0.75
397,1X1XXX11111111,0.75
398,1X1XXX11X11111,0.75
399,1X1XXX11211111,0.75
400,1X1XXX1X111111,0.75
401,1X1XXX1XX11111,0.75
402,1X1XXX1X211111,0.75
403,1X1XXX12111111,0.75
404,1X1XXX12X11111,0.75
405,1X1XXX12211111,0.75
406,1X1XXXX1111111,0.75
407,1X1XXXX1X11111,0.75
408,1X1XXXX1211111,0.75
409,1X1XXXXX111111,0.75
410,1X1XXXXXX11111,0.75
411,1X1XXXXX211111,0.75
412,1X1XXXX2111111,0.75
413,1X1XXXX2X11111,0.75
414,1X1XXXX2211111,0.75
415,1X1XX211111111,0.75
416,1X1XX211X11111,0.75
417,1X1XX211211111,0.75
418,1X1XX21X111111,0.75
419,1X1XX21XX11111,0.75
420,1X1XX21X211111,0.75
421,1X1XX212111111,0.75
422,1X1XX212X11111,0.75
423,1X1XX212211111,0.75
424,1X1XX2X1111111,0.75
425,1X1XX2X1X11111,0.75
426,1X1XX2X1211111,0.75
427,1X1XX2XX111111,0.75
428,1X1XX2XXX11111,0.75
429,1X1XX2XX211111,0.75
430,1X1XX2X2111111,0.75
431,1X1XX2X2X11111,0.75
432,1X1XX2X2211111,0.75
433,X1111111111111,0.75
434,X1111111X11111,0.75
435,X1111111211111,0.75
436,X111111X111111,0.75
437,X111111XX11111,0.75
438,X111111X211111,0.75
439,X1111112111111,0.75
440,X1111112X11111,0.75
441,X1111112211111,0.75
442,X11111X1111111,0.75
443,X11111X1X11111,0.75
444,X11111X1211111,0.75
445,X11111XX111111,0.75
446,X11111XXX11111,0.75
447,X11111XX211111,0.75
448,X11111X2111111,0.75
449,X11111X2X11111,0.75
450,X11111X2211111,0.75
451,X1111X11111111,0.75
452,X1111X11X11111,0.75
453,X1111X11211111,0.75
454,X1111X1X111111,0.75
455,X1111X1XX11111,0.75
456,X1111X1X211111,0.75
457,X1111X12111111,0.75
458,X1111X12X11111,0.75
459,X1111X12211111,0.75
460,X1111XX1111111,0.75
461,X1111XX1X11111,0.75
462,X1111XX1211111,0.75
463,X1111XXX111111,0.75
464,X1111XXXX11111,0.75
465,X1111XXX211111,0.75
466,X1111XX2111111,0.75
467,X1111XX2X11111,0.75
468,X1111XX2211111,0.75
469,X1111211111111,0.75
470,X1111211X11111,0.75
471,X1111211211111,0.75
472,X111121X111111,0.75
473,X111121XX11111,0.75
474,X111121X211111,0.75
475,X1111212111111,0.75
476,X1111212X11111,0.75
477,X1111212211111,0.75
478,X11112X1111111,0.75
479,X11112X1X11111,0.75
480,X11112X1211111,0.75
481,X11112XX111111,0.75
482,X11112XXX11111,0.75
483,X11112XX211111,0.75
484,X11112X2111111,0.75
485,X11112X2X11111,0.75
486,X11112X2211111,0.75
487,X111X111111111,0.75
488,X111X111X11111,0.75
489,X111X111211111,0.75
490,X111X11X111111,0.75
491,X111X11XX11111,0.75
492,X111X11X211111,0.75
493,X111X112111111,0.75
494,X111X112X11111,0.75
495,X111X112211111,0.75
496,X111X1X1111111,0.75
497,X111X1X1X11111,0.75
498,X111X1X1211111,0.75
499,X111X1XX111111,0.75
500,X111X1XXX11111,0.75
501,X111X1XX211111,0.75
502,X111X1X2111111,0.75
503,X111X1X2X11111,0.75
504,X111X1X2211111,0.75
505,X111XX11111111,0.75
506,X111XX11X11111,0.75
507,X111XX11211111,0.75
508,X111XX1X111111,0.75
509,X111XX1XX11111,0.75
510,X111XX1X211111,0.75
511,X111XX12111111,0.75
512,X111XX12X11111,0.75
513,X111XX12211111,0.75
514,X111XXX1111111,0.75
515,X111XXX1X11111,0.75
516,X111XXX1211111,0.75
517,X111XXXX111111,0.75
518,X111XXXXX11111,0.75
519,X111XXXX211111,0.75
520,X111XXX2111111,0.75
521,X111XXX2X11111,0.75
522,X111XXX2211111,0.75
523,X111X211111111,0.75
524,X111X211X11111,0.75
525,X111X211211111,0.75
526,X111X21X111111,0.75
527,X111X21XX11111,0.75
528,X111X21X211111,0.75
529,X111X212111111,0.75
530,X111X212X11111,0.75
531,X111X212211111,0.75
532,X111X2X1111111,0.75
533,X111X2X1X11111,0.75
534,X111X2X1211111,0.75
535,X111X2XX111111,0.75
536,X111X2XXX11111,0.75
537,X111X2XX211111,0.75
538,X111X2X2111111,0.75
539,X111X2X2X11111,0.75
540,X111X2X2211111,0.75
541,X11X1111111111,0.75
542,X11X1111X11111,0.75
543,X11X1111211111,0.75
544,X11X111X111111,0.75
545,X11X111XX11111,0.75
546,X11X111X211111,0.75
547,X11X1112111111,0.75
548,X11X1112X11111,0.75
549,X11X1112211111,0.75
550,X11X11X1111111,0.75
551,X11X11X1X11111,0.75
552,X11X11X1211111,0.75
553,X11X11XX111111,0.75
554,X11X11XXX11111,0.75
555,X11X11XX211111,0.75
556,X11X11X2111111,0.75
557,X11X11X2X11111,0.75
558,X11X11X2211111,0.75
559,X11X1X11111111,0.75
560,X11X1X11X11111,0.75
561,X11X1X11211111,0.75
562,X11X1X1X111111,0.75
563,X11X1X1XX11111,0.75
564,X11X1X1X211111,0.75
565,X11X1X12111111,0.75
566,X11X1X12X11111,0.75
567,X11X1X12211111,0.75
568,X11X1XX1111111,0.75
569,X11X1XX1X11111,0.75
570,X11X1XX1211111,0.75
571,X11X1XXX111111,0.75
572,X11X1XXXX11111,0.75
573,X11X1XXX211111,0.75
574,X11X1XX2111111,0.75
575,X11X1XX2X11111,0.75
576,X11X1XX2211111,0.75
577,X11X1211111111,0.75
578,X11X1211X11111,0.75
579,X11X1211211111,0.75
580,X11X121X111111,0.75
581,X11X121XX11111,0.75
582,X11X121X211111,0.75
583,X11X1212111111,0.75
584,X11X1212X11111,0.75
585,X11X1212211111,0.75
586,X11X12X1111111,0.75
587,X11X12X1X11111,0.75
588,X11X12X1211111,0.75
589,X11X12XX111111,0.75
590,X11X12XXX11111,0.75
591,X11X12XX211111,0.75
592,X11X12X2111111,0.75
593,X11X12X2X11111,0.75
594,X11X12X2211111,0.75
595,X11XX111111111,0.75
596,X11XX111X11111,0.75
597,X11XX111211111,0.75
598,X11XX11X111111,0.75
599,X11XX11XX11111,0.75
600,X11XX11X211111,0.75
601,X11XX112111111,0.75
602,X11XX112X11111,0.75
603,X11XX112211111,0.75
604,X11XX1X1111111,0.75
605,X11XX1X1X11111,0.75
606,X11XX1X1211111,0.75
607,X11XX1XX111111,0.75
608,X11XX1XXX11111,0.75
609,X11XX1XX211111,0.75
610,X11XX1X2111111,0.75
611,X11XX1X2X11111,0.75
612,X11XX1X2211111,0.75
613,X11XXX11111111,0.75
614,X11XXX11X11111,0.75
615,X11XXX11211111,0.75
616,X11XXX1X111111,0.75
617,X11XXX1XX11111,0.75
618,X11XXX1X211111,0.75
619,X11XXX12111111,0.75
620,X11XXX12X11111,0.75
621,X11XXX12211111,0.75
622,X11XXXX1111111,0.75
623,X11XXXX1X11111,0.75
624,X11XXXX1211111,0.75
625,X11XXXXX111111,0.75
626,X11XXXXXX11111,0.75
627,X11XXXXX211111,0.75
628,X11XXXX2111111,0.75
629,X11XXXX2X11111,0.75
630,X11XXXX2211111,0.75
631,X11XX211111111,0.75
632,X11XX211X11111,0.75
633,X11XX211211111,0.75
634,X11XX21X111111,0.75
635,X11XX21XX11111,0.75
636,X11XX21X211111,0.75
637,X11XX212111111,0.75
638,X11XX212X11111,0.75
639,X11XX212211111,0.75
640,X11XX2X1111111,0.75
641,X11XX2X1X11111,0.75
642,X11XX2X1211111,0.75
643,X11XX2XX111111,0.75
644,X11XX2XXX11111,0.75
645,X11XX2XX211111,0.75
646,X11XX2X2111111,0.75
647,X11XX2X2X11111,0.75
648,X11XX2X2211111,0.75
649,XX111111111111,0.75
650,XX111111X11111,0.75
651,XX111111211111,0.75
652,XX11111X111111,0.75
653,XX11111XX11111,0.75
654,XX11111X211111,0.75
655,XX111112111111,0.75
656,XX111112X11111,0.75
657,XX111112211111,0.75
658,XX1111X1111111,0.75
659,XX1111X1X11111,0.75
660,XX1111X1211111,0.75
661,XX1111XX111111,0.75
662,XX1111XXX11111,0.75
663,XX1111XX211111,0.75
664,XX1111X2111111,0.75
665,XX1111X2X11111,0.75
666,XX1111X2211111,0.75
667,XX111X11111111,0.75
668,XX111X11X11111,0.75
669,XX111X11211111,0.75
670,XX111X1X111111,0.75
671,XX111X1XX11111,0.75
672,XX111X1X211111,0.75
673,XX111X12111111,0.75
674,XX111X12X11111,0.75
675,XX111X12211111,0.75
676,XX111XX1111111,0.75
677,XX111XX1X11111,0.75
678,XX111XX1211111,0.75
679,XX111XXX111111,0.75
680,XX111XXXX11111,0.75
681,XX111XXX211111,0.75
682,XX111XX2111111,0.75
683,XX111XX2X11111,0.75
684,XX111XX2211111,0.75
685,XX111211111111,0.75
686,XX111211X11111,0.75
687,XX111211211111,0.75
688,XX11121X111111,0.75
689,XX11121XX11111,0.75
690,XX11121X211111,0.75
691,XX111212111111,0.75
692,XX111212X11111,0.75
693,XX111212211111,0.75
694,XX1112X1111111,0.75
695,XX1112X1X11111,0.75
696,XX1112X1211111,0.75
697,XX1112XX111111,0.75
698,XX1112XXX11111,0.75
699,XX1112XX211111,0.75
700,XX1112X2111111,0.75
701,XX1112X2X11111,0.75
702,XX1112X2211111,0.75
703,XX11X111111111,0.75
704,XX11X111X11111,0.75
705,XX11X111211111,0.75
706,XX11X11X111111,0.75
707,XX11X11XX11111,0.75
708,XX11X11X211111,0.75
709,XX11X112111111,0.75
710,XX11X112X11111,0.75
711,XX11X112211111,0.75
712,XX11X1X1111111,0.75
713,XX11X1X1X11111,0.75
714,XX11X1X1211111,0.75
715,XX11X1XX111111,0.75
716,XX11X1XXX11111,0.75
717,XX11X1XX211111,0.75
718,XX11X1X2111111,0.75
719,XX11X1X2X11111,0.75
720,XX11X1X2211111,0.75
721,XX11XX11111111,0.75
722,XX11XX11X11111,0.75
723,XX11XX11211111,0.75
724,XX11XX1X111111,0.75
725,XX11XX1XX11111,0.75
726,XX11XX1X211111,0.75
727,XX11XX12111111,0.75
728,XX11XX12X11111,0.75
729,XX11XX12211111,0.75
730,XX11XXX1111111,0.75
731,XX11XXX1X11111,0.75
732,XX11XXX1211111,0.75
733,XX11XXXX111111,0.75
734,XX11XXXXX11111,0.75
735,XX11XXXX211111,0.75
736,XX11XXX2111111,0.75
737,XX11XXX2X11111,0.75
738,XX11XXX2211111,0.75
739,XX11X211111111,0.75
740,XX11X211X11111,0.75
741,XX11X211211111,0.75
742,XX11X21X111111,0.75
743,XX11X21XX11111,0.75
744,XX11X21X211111,0.75
745,XX11X212111111,0.75
746,XX11X212X11111,0.75
747,XX11X212211111,0.75
748,XX11X2X1111111,0.75
749,XX11X2X1X11111,0.75
750,XX11X2X1211111,0.75
751,XX11X2XX111111,0.75
752,XX11X2XXX11111,0.75
753,XX11X2XX211111,0.75
754,XX11X2X2111111,0.75
755,XX11X2X2X11111,0.75
756,XX11X2X2211111,0.75
757,XX1X1111111111,0.75
758,XX1X1111X11111,0.75
759,XX1X1111211111,0.75
760,XX1X111X111111,0.75
761,XX1X111XX11111,0.75
762,XX1X111X211111,0.75
763,XX1X1112111111,0.75
764,XX1X1112X11111,0.75
765,XX1X1112211111,0.75
766,XX1X11X1111111,0.75
767,XX1X11X1X11111,0.75
768,XX1X11X1211111,0.75
769,XX1X11XX111111,0.75
770,XX1X11XXX11111,0.75
771,XX1X11XX211111,0.75
772,XX1X11X2111111,0.75
773,XX1X11X2X11111,0.75
774,XX1X11X2211111,0.75
775,XX1X1X11111111,0.75
776,XX1X1X11X11111,0.75
777,XX1X1X11211111,0.75
778,XX1X1X1X111111,0.75
779,XX1X1X1XX11111,0.75
780,XX1X1X1X211111,0.75
781,XX1X1X12111111,0.75
782,XX1X1X12X11111,0.75
783,XX1X1X12211111,0.75
784,XX1X1XX1111111,0.75
785,XX1X1XX1X11111,0.75
786,XX1X1XX1211111,0.75
787,XX1X1XXX111111,0.75
788,XX1X1XXXX11111,0.75
789,XX1X1XXX211111,0.75
790,XX1X1XX2111111,0.75
791,XX1X1XX2X11111,0.75
792,XX1X1XX2211111,0.75
793,XX1X1211111111,0.75
794,XX1X1211X11111,0.75
795,XX1X1211211111,0.75
796,XX1X121X111111,0.75
797,XX1X121XX11111,0.75
798,XX1X121X211111,0.75
799,XX1X1212111111,0.75
800,XX1X1212X11111,0.75
801,XX1X1212211111,0.75
802,XX1X12X1111111,0.75
803,XX1X12X1X11111,0.75
804,XX1X12X1211111,0.75
805,XX1X12XX111111,0.75
806,XX1X12XXX11111,0.75
807,XX1X12XX211111,0.75
808,XX1X12X2111111,0.75
809,XX1X12X2X11111,0.75
810,XX1X12X2211111,0.75
811,XX1XX111111111,0.75
812,XX1XX111X11111,0.75
813,XX1XX111211111,0.75
814,XX1XX11X111111,0.75
815,XX1XX11XX11111,0.75
816,XX1XX11X211111,0.75
817,XX1XX112111111,0.75
818,XX1XX112X11111,0.75
819,XX1XX112211111,0.75
820,XX1XX1X1111111,0.75
821,XX1XX1X1X11111,0.75
822,XX1XX1X1211111,0.75
823,XX1XX1XX111111,0.75
824,XX1XX1XXX11111,0.75
825,XX1XX1XX211111,0.75
826,XX1XX1X2111111,0.75
827,XX1XX1X2X11111,0.75
828,XX1XX1X2211111,0.75
829,XX1XXX11111111,0.75
830,XX1XXX11X11111,0.75
831,XX1XXX11211111,0.75
832,XX1XXX1X111111,0.75
833,XX1XXX1XX11111,0.75
834,XX1XXX1X211111,0.75
835,XX1XXX12111111,0.75
836,XX1XXX12X11111,0.75
837,XX1XXX12211111,0.75
838,XX1XXXX1111111,0.75
839,XX1XXXX1X11111,0.75
840,XX1XXXX1211111,0.75
841,XX1XXXXX111111,0.75
842,XX1XXXXXX11111,0.75
843,XX1XXXXX211111,0.75
844,XX1XXXX2111111,0.75
845,XX1XXXX2X11111,0.75
846,XX1XXXX2211111,0.75
847,XX1XX211111111,0.75
848,XX1XX211X11111,0.75
849,XX1XX211211111,0.75
850,XX1XX21X111111,0.75
851,XX1XX21XX11111,0.75
852,XX1XX21X211111,0.75
853,XX1XX212111111,0.75
854,XX1XX212X11111,0.75
855,XX1XX212211111,0.75
856,XX1XX2X1111111,0.75
857,XX1XX2X1X11111,0.75
858,XX1XX2X1211111,0.75
859,XX1XX2XX111111,0.75
860,XX1XX2XXX11111,0.75
861,XX1XX2XX211111,0.75
862,XX1XX2X2111111,0.75
863,XX1XX2X2X11111,0.75
864,XX1XX2X2211111,0.75
865,21111111111111,0.75
866,21111111X11111,0.75
867,21111111211111,0.75
868,2111111X111111,0.75
869,2111111XX11111,0.75
870,2111111X211111,0.75
871,21111112111111,0.75
872,21111112X11111,0.75
873,21111112211111,0.75
874,211111X1111111,0.75
875,211111X1X11111,0.75
876,211111X1211111,0.75
877,211111XX111111,0.75
878,211111XXX11111,0.75
879,211111XX211111,0.75
880,211111X2111111,0.75
881,211111X2X11111,0.75
882,211111X2211111,0.75
883,21111X11111111,0.75
884,21111X11X11111,0.75
885,21111X11211111,0.75
886,21111X1X111111,0.75
887,21111X1XX11111,0.75
888,21111X1X211111,0.75
889,21111X12111111,0.75
890,21111X12X11111,0.75
891,21111X12211111,0.75
892,21111XX1111111,0.75
893,21111XX1X11111,0.75
894,21111XX1211111,0.75
895,21111XXX111111,0.75
896,21111XXXX11111,0.75
897,21111XXX211111,0.75
898,21111XX2111111,0.75
899,21111XX2X11111,0.75
900,21111XX2211111,0.75
901,21111211111111,0.75
902,21111211X11111,0.75
903,21111211211111,0.75
904,2111121X111111,0.75
905,2111121XX11111,0.75
906,2111121X211111,0.75
907,21111212111111,0.75
908,21111212X11111,0.75
909,21111212211111,0.75
910,211112X1111111,0.75
911,211112X1X11111,0.75
912,211112X1211111,0.75
913,211112XX111111,0.75
914,211112XXX11111,0.75
915,211112XX211111,0.75
916,211112X2111111,0.75
917,211112X2X11111,0.75
918,211112X2211111,0.75
919,2111X111111111,0.75
920,2111X111X11111,0.75
921,2111X111211111,0.75
922,2111X11X111111,0.75
923,2111X11XX11111,0.75
